dataset,lr,weight_decay,generative_loss_w,keep_ratio,seed,embedding_dim,num_epoch,selflabeling_epcohs,drop_prob,tau,alpha,batch_size,run,subgraph_size,auc_test_rounds,num_workers,negsamp_ratio,device,logdir,pseudotype,score_type,loss_type,global_adg,continue_train,reinit,auc,attribute_auc,structure_auc
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.6,4096,1,4,20,8,1,0,log/ogbn-arxivplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9120631493238156,0.9274170528682996,0.8967092457793313
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.6,4096,1,4,256,8,1,0,log/Coraplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8945087307792545,0.8510659369298933,0.937951524628616
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.3,4096,1,4,256,8,1,0,log/Pubmedplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9666829697825672,0.9578563582152012,0.9755095813499328
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.8,4096,1,4,20,8,1,0,log/ogbn-arxivplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9154442696248588,0.9310309002120282,0.8998576390376896
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.5,4096,1,4,256,8,1,0,log/Citeseerplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8609715664673171,0.7685321582205437,0.9534109747140908
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.8,4096,1,4,256,8,1,0,log/Coraplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8927313004951785,0.8504143862392495,0.9350482147511076
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.9,4096,1,4,20,8,1,0,log/ogbn-arxivplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9143590843603134,0.927423150466605,0.9012950182540216
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.5,4096,1,4,256,8,1,0,log/Pubmedplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9722926365712892,0.9645430768426008,0.9800421962999774
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.6,4096,1,4,256,8,1,0,log/Citeseerplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8599496380232924,0.7513587241632567,0.968540551883328
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.9,4096,1,4,256,8,1,0,log/Coraplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8911675788376334,0.8351785248892364,0.9471566327860308
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9113066558305732,0.9264301694389516,0.896183142222195
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,1,4,256,8,1,0,log/Coraplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9005994266353924,0.8580453479280687,0.9431535053427156
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.8,4096,1,4,256,8,1,0,log/Citeseerplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8733270380862449,0.7811856048683246,0.9654684713041654
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.1,4096,1,4,256,8,1,0,log/ACMplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.7889464632914683,-1.0,-1.0
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.6,4096,1,4,256,8,1,0,log/Pubmedplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9702796812610068,0.9616728566197624,0.9788865059022512
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.9,4096,1,4,256,8,1,0,log/Citeseerplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8781565418109326,0.7885783233658588,0.9677347602560068
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.8,4096,1,4,256,8,1,0,log/Pubmedplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9729831214800092,0.9653957210859444,0.9805705218740736
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,1,4,256,8,1,0,log/Citeseerplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8786255377190221,0.7802413178050571,0.977009757632987
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.9,4096,1,4,256,8,1,0,log/Pubmedplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9751220554131576,0.9687273107705184,0.9815168000557968
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.2,4096,1,4,256,8,1,0,log/ACMplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.7919580487781221,-1.0,-1.0
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,1,4,256,8,1,0,log/Pubmedplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9721869278652508,0.9632718697145648,0.9811019860159368
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.3,4096,1,4,256,8,1,0,log/ACMplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8060556237894114,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.5,4096,1,4,256,8,1,0,log/ACMplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8345342351378386,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.6,4096,1,4,256,8,1,0,log/ACMplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8469790677227435,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.8,4096,1,4,256,8,1,0,log/ACMplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8575782122884412,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.9,4096,1,4,256,8,1,0,log/ACMplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8628571720776308,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,1.0,4096,1,4,256,8,1,0,log/ACMplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8646874666233119,-1.0,-1.0
